sender,timestamp,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59,token_60,token_61,token_62,token_63,token_64,token_65,token_66,token_67,token_68,token_69
-1001333826717,2024-09-26 09:27:56+00:00,kitchen,expert,no,1,15,3,5,3,2100,5,2600,1,1,1,1,1,105b,2,22,3,c10,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-26 05:49:13+00:00,telescopic,stainless,steel,majic,mop,900,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-25 17:39:49+00:00,siliver,crest,brand,1,2,an,environmentally,friendly,and,safe,plate,based,on,a,light,wave,light,wave,technology,safe,and,high,quality,does,not,emit,smoke,and,flame,suitable,for,this,product,cooking,can,be,roasted,and,steamed,this,appliance,can,perform,a,variety,of,functions,including,a,multifunction,plate,has,a,heating,function,2,price,7200,delivery,free,1price3100,1000,2,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez
-1001333826717,2024-09-25 10:38:58+00:00,3,pc,shaped,mould,24cm,26cm,28cm,1250,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1,1,105b,2,22,3,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-25 07:44:47+00:00,high,pressure,water,gun,head,set,360,950,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-25 05:48:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-25 05:48:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-25 05:48:40+00:00,smile,facy,pan,1700,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 18:27:52+00:00,deep,fryer,25,25,4800,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 18:24:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 18:24:22+00:00,deep,fryer,25,25,4800,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 12:02:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 12:02:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 12:02:11+00:00,cake,decorating,nozzles,6pcs,price,650,birr,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 08:36:33+00:00,3,3pcs,fry,pan,set,aluminum,forged,400mm,for,all,types,of,kitchen,double,layer,antiadhernte,for,uniform,cooking,proffessional,quality,ergonomic,soft,touch,handle,suitable,for,dish,washeres,price,3999,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 06:24:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 06:24:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 06:24:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 06:24:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 06:24:30+00:00,electronic,kitchen,scale,equipped,with,a,high,precision,strain,gauge,sensor,system,lcd,display,model,sf400,1100,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 05:32:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 05:32:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 05:32:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 05:32:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-24 05:32:08+00:00,1600,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 23:01:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 23:01:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 23:01:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 23:01:32+00:00,storage,wardrobe,plastic,metal,175,105,45,5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 11:23:38+00:00,85,lcd,writing,tablet,650,2pc,free,delivery,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1,1,105b,2,22,3,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 09:32:01+00:00,mirror,sticker,20,30,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 07:08:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 07:08:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 07:08:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 07:08:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 07:08:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-23 07:08:54+00:00,kitchen,oil,proof,stickers,waterproof,60cm5meter,900,2,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1,1,105b,2,22,3,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 13:08:01+00:00,comfortable,inflated,sofa,5700,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 12:30:02+00:00,baby,food,grinder,machine,powerful,function,features,steam,agitation,heating,and,electronic,health,save,time,and,energy,it,only,take,you,15,minutes,convenient,for,use,its,no,noise,simple,cooking,and,storing,food,in,one,hand,function,juicing,stirring,making,milkshake,crushing,ice,mixing,5700,1,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,
-1001333826717,2024-09-21 10:48:19+00:00,01,1299,1,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 05:59:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 05:59:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 05:59:42+00:00,1100,tmeleyueqa,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 04:33:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 04:33:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 04:33:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-21 04:33:01+00:00,hair,steamer,cape,high,quality,950,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 18:24:37+00:00,70,adjustable,base,for,washing,amachine,refrigerator,4970,height,10cm,load,200kg,2200,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 16:30:20+00:00,4,in,1,hand,blender,400watt,2700,free,delivery2,1,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 14:13:34+00:00,door,step,shoe,rack,18,55cm26cm114m,6,2600,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 11:27:02+00:00,decoration,1700,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 07:56:25+00:00,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 07:42:39+00:00,double,sided,carpet,tape,double,sided,carpet,tape,is,specially,intended,to,stick,very,effectively,to,two,surfaces,and,create,a,strong,bond,since,it,is,coated,with,adhesive,on,both,sides,size,5,700,2pc,free,delivery2,1,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 05:49:22+00:00,foldable,high,capacity,travel,bags,lightweight,travel,carry,bag,high,capacity,waterresistant,multiple,pockets,multifunctional,sport,travel,bags,it,is,portable,with,multiple,ways,to,carry,handheld,shoulderon,or,put,on,luggage,1500,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 17:31:57+00:00,sweat,shaper,slimming,body,shaper,sweat,shaper,size,sm,lxl,2xl3xl,1100,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 15:24:01+00:00,waist,training,corset,5,1000,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1,1,105b,2,22,3,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 13:39:57+00:00,slicer,1350,1000,free,delivery2,1,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 11:22:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 11:22:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 11:22:56+00:00,smile,facy,pan,1700,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 06:23:07+00:00,water,proof,for,pipe,leakage,for,roof,water,leakage,solution,aluminium,foil,tape,waterproof,adhesive,tape,sealing,butyl,rubber,tape,for,surface,crack,pipe,rupture,5,meter,900,1000,tmeleyueqa,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-18 07:42:19+00:00,impulse,sealer,1,300mm,2500,200,mm,2100,1000,tmeleyueqa,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-18 06:01:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-18 06:01:51+00:00,saachi,3,in,1,original,600,watt,16,litre,high,capacity,plastic,jar,2,speed,control,with,pulse,full,safety,switch,powerful,motor,ultra,sharp,blade,rotary,switch,for,easy,operate,plastic,lined,grinding,mill,4000,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 10:51:06+00:00,3in1,one,step,hair,dryer,styler,3,1,3,3,curling,hair,straightening,hair,dry,hair,3,1800,1000,tmeleyueqa,1,1,105b,2,22,3,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 07:16:05+00:00,heater,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,51electric,waffle,maker,5,in,1,sandwich,maker,cooking,kitchen,appliances,breakfast,waffles,machine,nonstick,brand,sonifer,5,in,1,multi,snacks,maker,sonifer,5,1,2,3,4,5,it,comes,with,a,detachable,sandwich,grill,donut,waffle,and,nutty,making,plates,5600,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 04:02:03+00:00,roti,maker,brushed,stainless,steel,housing,nonstick,coating,plates,for,easy,cleaning,stand,upright,for,compact,storage,power,and,ready,light,indicator,cordwrap,for,storage,22024ov506ohz,120ow,4700,free,delivery,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 18:40:23+00:00,mini,rechargeable,juicer,400ml,400ml,packageincluded,1,portable,juice,blender,1,usb,charging,cable,1300,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 16:19:01+00:00,rechargeable,led,table,lamp,very,suitable,for,desktop,night,lights,in,living,rooms,bedrooms,restaurants,hotels,etc,material,aluminum,alloy,function,touch,threelevel,dimming,usb,charging,charging,time,4h,battery,life,1800mah,power,15w,color,goldsiliverred,size,as,shown,packinglist,1led,desk,lamp,1usb,data,cable,price,1600,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,
-1001333826717,2024-09-16 13:39:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 13:39:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
