sender,timestamp,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59,token_60,token_61,token_62,token_63,token_64,token_65,token_66,token_67,token_68,token_69
-1001333826717,2024-09-16 13:39:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 13:39:30+00:00,4000watt,powerful,motor,4in,1,multifunction,blender,and,juice,extractor,4,7999,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 08:46:22+00:00,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 06:02:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 06:02:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 06:02:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 06:02:41+00:00,portable,shower,2500,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-15 16:09:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-27 08:02:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-27 07:38:57+00:00,sina,kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:24:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:24:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:24:51+00:00,3350,0905707448,0909003864,0909003864,0905707448,sinasinaye,sinayalj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:24:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:24:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:24:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:24:11+00:00,baby,romper,2000,birr,free,delivery,0909003864,0905707448,sinasinaye,sinayalj2,11,22,4,20,2,33,ff09,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:20:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:20:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:20:22+00:00,chicco,5,in,1,mama,bag,3200,free,delivery,0909003864,0905707448,httpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:19:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:19:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:19:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:19:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:19:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:19:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-26 12:19:20+00:00,aiebao,hip,seat,carrier,2600,birr,0909003864,0905707448,httpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-25 06:15:53+00:00,kids,mat,4100,size,1802m,free,delivery,0909003864,0905707448,sinasinaye,sinayalj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-24 07:10:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-24 07:10:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-24 07:10:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-24 07:10:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-24 07:10:40+00:00,wearable,breast,milk,collector,wearable,breast,milk,collector,750,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-22 08:05:04+00:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-22 08:04:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-22 08:04:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-22 08:04:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-22 08:04:03+00:00,double,layer,lunch,box,with,dipping,jar,1250,birr,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-16 17:23:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-16 17:23:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-16 17:23:57+00:00,50,pcs,balls,1700,birr,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:35:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:35:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:35:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:35:04+00:00,infantino,baby,carier,3,3300,18,kg,0909003864,0905707448,httpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:34:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:33:59+00:00,mastela,deluxe,multifunctional,bassinet,14500,free,delivery,0909003864,0905707448,sinasinaye,sinayalj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 11:05:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-15 06:42:48+00:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-13 08:40:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-13 08:37:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-13 08:37:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-13 08:37:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-13 08:37:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-13 08:37:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-13 08:37:10+00:00,worlds,number,one,highquality,multifunctional,4,in,1,car,seat,stroller,combo,baby,car,seat,stroller,cradle,baby,basket,5,point,safety,belt,0,up,to,3,years,brake,system,rotate,360,limited,stock,grab,yours,now,for,more,information,please,kindly,check,video,below,39000,birr,free,delivery,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,
-1001424695758,2024-09-10 16:04:53+00:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-10 16:04:01+00:00,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-09 15:43:12+00:00,inflatable,baby,seat,for,babies,3,months,and,up,toddler,floor,seats,for,sitting,up,built,in,air,pump,baby,seats,for,kids,blow,up,baby,chair,with,back,support,cute,bear,2800,birr,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:40:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:40:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:40:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:40:32+00:00,zimeitu,brand,baby,bottle,sterilizer,with,drying,twoinone,babyspecific,oneinone,steam,sterilizer,19000,birr,free,delivery,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:06:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:06:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:06:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:06:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:06:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-08 11:06:09+00:00,philips,avent,avent,2in1,electric,steam,steriliser,multicolor,18000,birr,free,delivery,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-07 16:24:08+00:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-05 15:32:37+00:00,baby,travel,playpen,33000,0909003864,0905707448,0909003864,0905707448,httpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-04 14:49:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-04 14:49:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001424695758,2024-09-04 14:49:32+00:00,350,birr,for,1,pcs,0909003864,0905707448,httpstmesinayeljhttpstmesinayeljhttpstmesinayelj,sinasinaye,httpstmesinayelj2httpstmesinayelj2,11,22,4,20,2,33,ff09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
